entry_id	trans_english	Nootka_Phonemic
13.2	two	ʔaλ-
13.3	three	qačc̷ˀa, qac̷c̷ˀa
13.4	four	moˑ-, moy-, moˑ
13.5	five	sočˀa-,
13.6	six	nˀopo < nˀop-po
13.7	seven	ʔaλ-po
13.8	eight	
13.9	nine	c̷ˀawaˑ-kʷał
13.10	ten	ḥayo
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	c̷aqiˑ̆c̷-,
13.105	hundred	
13.106	thousand	
13.107	count	hoks-, hoksaˑ
13.14	every, all	hiš-; hiq-; homa-qλ; moxt-, moxtak
13.15	much, many	ʔaya, ʔayi-, ʔayo-
13.16	more	
13.17	little (quantity), few	kamˀaˑ̆-..-ʔis
13.18	enough	
13.181	some	
13.19	multitude, crowd	
13.21	full	
13.22	empty	
13.23	part, piece	
13.24	half	
13.33	alone, only	nˀama-
13.34	first	ʔamˀa-
13.35	last	
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	
14.14	young	
14.15	old	waš-, wašak
14.16	early	
14.17	late	
14.18	now	waˑλ
14.19	immediately	ʔeʔim(.-); takok
14.21	swift, fast, quick	ʔoˑsa-, ʔoˑsaˑ̆k; wasqʷiˑ̆(q-); kixł.-,
14.22	slow	
14.23	hasten, hurry	ʔeʔeiˑ̆š-, ʔeʔiš-; yošo-; čˀaša-q-, čˀašaˑ
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	hawił-, hawiˑ-, hawiˑ(λ)
14.28	cease, stop	
14.29	ready	ʔiˑnax-, ʔiˑnaxi
14.31	always	taˑk-šiλ; nˀoˑmˀ-aya
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	hoˑʔak(ʷ-)
14.34	never	wiˑyˀa
14.35	again	ʔiq ʔiqḥ; hoʔa-
14.41	day	nˀaˑs
14.42	night	ʔatḥ-, ʔatḥiˑ
14.43	dawn	kaλḥ-, kaλḥak; c̷ˀiwiˑtq-ši(λ)
14.44	morning	koʔał
14.45	noon, midday	
14.451	afternoon	
14.46	evening	toˑpši(λ)
14.47	today	
14.48	tomorrow	
14.481	day-after-tomorrow	
14.49	yesterday	
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	[waˑč]
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	
14.73	year	
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	mis.-, misaˑ
15.212	sniff	nisk-, niskaˑ
15.22	smell (vb trans)	
15.25	fragrant, good smelling	
15.26	stinking, bad smelling	
15.31	taste	
15.35	sweet	čamas
15.36	salty	
15.37	bitter	
15.38	acid, sour	c̷iḥ-,
15.39	brackish	
15.41	hear	naʔaˑ̆-, naʔaˑ
15.42	listen	
15.44	sound, noise	
15.45	loud	
15.46	quiet, silence	
15.51	see	nˀač-, nˀaˑc̷sa; nˀačoʔał; niˑ, neˑ, neˑy
15.52	look, look at	nˀaš-, nˀaši(λ)
15.55	show	ḥim.-,
15.56	shine	
15.57	bright	
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	λˀic̷-, λˀis.-, λˀisok
15.65	black	topk-, topkok, tom-
15.66	red	λˀiḥ-,
15.67	blue	kinˀic̷-, kinˀic̷ak
15.68	green	kistaq-, ; ʕomaˑ̆q-,
15.69	yellow	ḥic̷-pˀiq-,
15.71	touch	
15.712	pinch	
15.72	feel	
15.74	hard	
15.75	soft	
15.76	rough	
15.77	smooth	
15.78	sharp	
15.79	blunt, dull	
15.81	heavy	kʷatyi-,
15.82	light (in weight)	yox(ʷ-). . -ʔis
15.83	wet, damp	tˀał-, tˀałak, tˀałaˑ
15.84	dry	ḥapc̷
15.85	hot	hinq-
15.851	warm	taˑł; λˀom-,
15.86	cold	pok-, pokmis; mˀał.-, mˀałok, mˀała
15.87	clean	
15.88	dirty, soiled	ʔašx̣-, ʔašx̣ak; ʔišk-, ʔiškak; mač-, mačq-, mačqak
15.89	wrinkled	
16.11	soul, spirit	
16.15	surprised, astonished	yˀowaˑ-, yˀowaˑł
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	naš-aˑkʷ-, naš-, našaˑk; čaxt-, čaxtak; čit-, čitak
16.25	laugh	hahahaha, hehehehe
16.251	smile	
16.26	play	
16.27	love	
16.29	kiss	
16.3	embrace	
16.31	pain	ʔakayaˑ
16.32	grief, sorrow, sadness	šiˑwał-,
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	ʕiḥ-,
16.38	tear (noun)	
16.39	groan	
16.41	hate	
16.42	anger	wiˑ-q-
16.44	envy, jealousy	hot- hotiˑq-, hotiˑqak
16.45	shame (noun)	yˀimḥ-, yˀimḥaˑ; wˀaˑ-, wˀaˑʔak
16.48	proud	
16.51	dare	
16.52	brave	
16.53	fear, fright	howˀ-aqλ; toḥ-, toˑḥok
16.54	danger	
16.62	desire, want	ʔinis. .-ʔaˑḥ; kʷin-ʔał
16.622	choose	
16.63	hope	
16.65	faithful	
16.66	true	ftˀaqo-, tˀaqoqλ
16.67	lie, tell lies	
16.68	deceit	ʔaˑʔaˑyisax̣a
16.69	forgive	
16.71	good	ʔoˑ-q-; λoł
16.72	bad	pˀiš.-, pˀišaq
16.73	right, correct	
16.74	wrong	
16.76	fault	
16.77	mistake, error	
16.78	blame	
16.79	praise	
16.81	beautiful	
16.82	ugly	
16.83	greedy	
16.84	clever	
17.11	mind	
17.13	think (= reflect)	tˀapat-, tˀapata
17.14	think (= be of the opinion)	
17.15	believe	ʔoˑqłaˑp, -m-
17.16	understand	
17.17	know	hašił; hoḥtak(ʷ-)
17.171	guess	ʔanaʕap
17.172	imitate	
17.18	seem	
17.19	idea, notion	
17.21	wise	
17.22	foolish, stupid	hayoxʷ-
17.23	insane, crazy	hayoxʷ-
17.24	learn	
17.242	study	
17.25	teach	ḥaˑḥoˑp-,
17.26	pupil	
17.27	teacher	
17.28	school	
17.31	remember	
17.32	forget	
17.34	clear, plain	
17.35	obscure	
17.36	secret	
17.37	sure, certain	
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	
17.46	easy	
17.47	difficult	
17.48	try, attempt	maˑna-, maˑnokʷi(λ); nˀamał-ši(λ)
17.49	way, manner	
17.51	and	ʔiš; weˑ
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	haˑʔa
17.56	no, negative	hik, wik
17.61	how?	
17.62	how many?	
17.63	how much?	ʔana, ʔani-, ʔano-
17.64	what?	ʔaqi-, ʔaqaq
17.65	when?	
17.66	where?	waˑs(t)- waˑsa-, waˑsi
17.67	which?	waˑya-q-
17.68	who?	ʔača-, ʔačaq
17.69	why?	
18.11	voice	waniq-, waniˑq
18.12	sing	nonoˑk
18.13	shout, cry out	hixoq-, hixoqʷa; haˑˑyiˑˑ
18.15	whisper	kał.-, kałaˑ
18.16	mumble	
18.17	whistle	kiˑk-, kiˑkaˑ
18.18	shriek, screech	
18.19	howl	wˀapˀiq-
18.21	speak, talk	c̷iq-, c̷iqaˑ
18.211	stutter, stammer	
18.22	say	haˑni, hani, haneˑ; waˑ-ł-, wawaˑ, waˑ
18.221	tell story	ʔiyaqḥ- ʔiˑqḥ-, ʔiˑqḥok; ʔiˑqḥ-, ʔiˑqḥok
18.222	speech (make a)	
18.23	silent (be)	
18.24	language	
18.26	word	waˑł-
18.28	name	ʔiˑw-aˑnox; x̣ʷiˑliˑ; ḥapˀinyok
18.31	ask (question, inquire)	ʔaʔatał-
18.32	answer	
18.33	admit, confess	
18.34	deny	yaˑ-
18.35	ask, request	
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	wišk-, wiškaˑ
18.41	call (=summon)	haˑ-ʕin
18.42	call (=name)	
18.43	announce	
18.44	threaten	
18.45	boast	
18.51	write	qic̷-,
18.52	read	
18.56	paper	
18.57	pen	
18.61	book	
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	
19.11	country	
19.12	one's native country	
19.15	city, town	
19.16	village	
19.17	boundary	
19.21	people (populace)	
19.23	tribe, clan	ma-, maʔas
19.24	chief, chieftain	
19.25	staff, walking stick	
19.31	rule, govern	
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	
19.42	slave	qoł.-,
19.43	servant	
19.44	freeman	
19.45	command, order	
19.46	obey	
19.47	let, permit	
19.51	friend, companion	wanˀeˑ
19.52	enemy	
19.54	neighbor	
19.55	stranger	λaˑsa-,
19.56	guest	
19.57	host	
19.58	help, aid	hopiˑ̆
19.59	hinder, prevent	
19.61	custom	
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	
19.72	prostitute	
20.11	fight (vb)	
20.13	war, battle	
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	čˀitˀoqʷ-, čˀitˀoˑł
20.222	battle-ax	
20.23	sling	
20.24	bow	mos.-, moˑstati-q-, moˑstati
20.25	arrow	c̷ˀiˑḥat-,
20.26	spear	miłs.-, miłsyˀi
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	mˀaˑt-, mˀaˑtił
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	
20.56	bait	
20.61	hunt	ʔac̷- ʔaˑc̷-
20.62	shoot	λˀi-,
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	
21.42	murder	tˀoxʷ-, tˀoxši(λ)
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	koˑwˀił.-
21.52	thief	
22.11	religion	
22.12	God	
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	
22.19	holy, sacred	qaˑnˀ-im(.-)
22.22	preach	
22.23	bless	
22.24	curse	kʷił.-,
22.26	fast (vb)	
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	
22.44	fairy, elf	
22.45	ghost, phantom	čˀiḥ-, čˀiḥaˑ
22.47	omen, portent	
